name,game_mode,status,start_date,end_date,player_capacity,admin_id,playlist,gamelist
Tournament 30,BATTLE_ROYALE,INACTIVE,2024-11-12T10:00:00+08:00,2024-11-21T10:00:00+08:00,96,5,null,null
Tournament 31,CLAN_WAR,INACTIVE,2024-11-24T08:00:00+08:00,2024-12-04T08:00:00+08:00,80,4,null,null
Tournament 32,CLAN_WAR,ACTIVE,2024-11-06T11:00:00+08:00,2024-11-12T11:00:00+08:00,20,4,null,null
Tournament 33,CLAN_WAR,ACTIVE,2024-11-06T11:00:00+08:00,2024-11-16T11:00:00+08:00,50,3,null,null
Tournament 34,CLAN_WAR,INACTIVE,2024-11-18T10:00:00+08:00,2024-11-25T10:00:00+08:00,60,5,null,null
Tournament 35,CLAN_WAR,INACTIVE,2024-11-17T10:00:00+08:00,2024-11-19T10:00:00+08:00,110,5,null,null
Tournament 36,CLAN_WAR,INACTIVE,2024-11-14T12:00:00+08:00,2024-11-24T12:00:00+08:00,50,5,null,null
Tournament 37,BATTLE_ROYALE,INACTIVE,2024-11-19T09:00:00+08:00,2024-11-20T09:00:00+08:00,93,4,null,null
Tournament 38,BATTLE_ROYALE,INACTIVE,2024-11-11T10:00:00+08:00,2024-11-15T10:00:00+08:00,76,1,null,null
Tournament 39,CLAN_WAR,ACTIVE,2024-11-02T08:00:00+08:00,2024-11-11T08:00:00+08:00,80,3,null,null
Tournament 40,BATTLE_ROYALE,INACTIVE,2024-11-17T10:00:00+08:00,2024-11-23T10:00:00+08:00,106,4,null,null
Tournament 41,CLAN_WAR,COMPLETED,2024-11-04T12:00:00+08:00,2024-11-07T12:00:00+08:00,20,1,null,null
Tournament 42,BATTLE_ROYALE,INACTIVE,2024-11-14T10:00:00+08:00,2024-11-23T10:00:00+08:00,59,2,null,null
Tournament 43,CLAN_WAR,INACTIVE,2024-11-20T09:00:00+08:00,2024-11-29T09:00:00+08:00,50,2,null,null
Tournament 44,CLAN_WAR,INACTIVE,2024-11-21T12:00:00+08:00,2024-11-24T12:00:00+08:00,70,5,null,null
Tournament 45,CLAN_WAR,INACTIVE,2024-11-28T12:00:00+08:00,2024-12-04T12:00:00+08:00,100,1,null,null
Tournament 46,BATTLE_ROYALE,INACTIVE,2024-11-12T11:00:00+08:00,2024-11-13T11:00:00+08:00,98,2,null,null
Tournament 47,CLAN_WAR,INACTIVE,2024-11-14T11:00:00+08:00,2024-11-17T11:00:00+08:00,100,3,null,null
Tournament 48,CLAN_WAR,INACTIVE,2024-11-28T10:00:00+08:00,2024-12-07T10:00:00+08:00,50,5,null,null
Tournament 49,BATTLE_ROYALE,INACTIVE,2024-11-24T11:00:00+08:00,2024-12-02T11:00:00+08:00,81,2,null,null
Tournament 50,CLAN_WAR,COMPLETED,2024-11-01T10:00:00+08:00,2024-11-05T10:00:00+08:00,40,1,null,null
